Sr. no.;start_date_local;type;distance;moving_time;elapsed_time;total_elevation_gain;start_latlng;end_latlng;sport_type;start_date;timezone;achievement_count;kudos_count;comment_count;athlete_count;photo_count;average_speed;max_speed;lat;lng;MinTemperature;MaxTemperature;TotalPrecipitation;MaxWindSpeed;SolarRadiation;SunshineDuration;RainSum;SnowFall
1;09/12/2023;Run;10879,7;4023;4617;91,4;[40.70327935740352, -73.99619171395898];[40.69340907968581, -73.97922154515982];Run;2023-12-09T14:09:19Z;(GMT-05:00) America/New_York;4;4;0;3;0;2,704;6,228;40,70327936;-73,99619171;1,3;13,6;0;12;8,32;29249,18;0;0
2;07/12/2023;Run;1304,4;722;62993;0;[40.7220459356904, -74.03641730546951];[40.719722136855125, -74.03257705271244];Run;2023-12-07T22:31:50Z;(GMT-05:00) America/New_York;0;0;0;1;0;1,807;4,044;40,72204594;-74,03641731;-3,3;3,5;0;17,5;4,04;10800;0;0
3;03/12/2023;Run;17503;7370;7462;68,4;[40.74991073459387, -73.98751585744321];[40.73538766242564, -73.9793517999351];Run;2023-12-03T14:18:13Z;(GMT-05:00) America/New_York;2;5;0;4;0;2,375;6,778;40,74991073;-73,98751586;5,5;9,9;16,2;19,1;1,27;0;16,2;0
4;02/12/2023;Run;3457,8;1791;2170;3,9;[40.72203076444566, -74.03641068376601];[40.71398631669581, -74.03902692720294];Run;2023-12-02T14:41:14Z;(GMT-05:00) America/New_York;0;2;0;3;0;1,931;4,522;40,72203076;-74,03641068;4,4;16,2;0,1;16,3;7,25;27290,56;0,1;0
5;01/12/2023;Run;10108,2;4128;4221;6,3;[40.72190687991679, -74.03624514117837];[40.71669920347631, -74.03264125809073];Run;2023-12-01T22:06:05Z;(GMT-05:00) America/New_York;4;5;0;1;0;2,449;5,462;40,72190688;-74,03624514;-0,2;7,9;5,3;14,3;3,54;8903,67;5,3;0
6;29/11/2023;Run;6694,7;2913;2983;9,8;[40.72185751050711, -74.03604313731194];[40.719508565962315, -74.03692323714495];Run;2023-11-29T22:22:51Z;(GMT-05:00) America/New_York;1;2;1;1;0;2,298;4,972;40,72185751;-74,03604314;-4,3;2,6;0;21;9,37;27621,35;0;0
7;26/11/2023;Run;6518,5;2545;2735;5;[40.74989422224462, -73.98728493601084];[40.71740294806659, -74.01325140148401];Run;2023-11-26T14:16:39Z;(GMT-05:00) America/New_York;0;2;0;4;0;2,561;4,738;40,74989422;-73,98728494;-2,7;10,4;5,5;34,3;5,92;18403,9;5,5;0
8;09/11/2023;Run;10137,9;4027;4037;0;[40.72207803837955, -74.03637405484915];[40.7126241736114, -74.04014498926699];Run;2023-11-09T22:46:38Z;(GMT-05:00) America/New_York;10;2;0;1;0;2,517;8,032;40,72207804;-74,03637405;2,8;15,3;0,4;12;4,97;14351,94;0,4;0
9;07/11/2023;Run;5065,6;1974;2012;5;[40.7218580134213, -74.03597440570593];[40.717102037742734, -74.03721358627081];Run;2023-11-07T22:31:51Z;(GMT-05:00) America/New_York;2;3;0;1;0;2,566;5,092;40,72185801;-74,03597441;10,7;20,3;5,7;20,3;7,03;15164,81;5,7;0
10;04/11/2023;Run;32192,3;14536;15709;5,2;[40.721997655928135, -74.0361484978348];[40.721965469419956, -74.03655661270022];Run;2023-11-04T20:20:18Z;(GMT-05:00) America/New_York;17;2;0;2;0;2,215;10,26;40,72199766;-74,0361485;3,7;15;0;11;8,92;25218,75;0;0
